"American Airlines Inc."	0.015040276369727157
"Alaska Airlines Inc."	0.0038777887909298
"JetBlue Airways"	0.016012102693148796
"Delta Air Lines Inc."	0.004365889886868193
"Atlantic Southeast Airlines"	0.026628693111785964
"Frontier Airlines Inc."	0.006473204456382932
"Hawaiian Airlines Inc."	0.0022419760855884206
"American Eagle Airlines Inc."	0.05099581851258519
"Spirit Air Lines"	0.017072900604026275
"Skywest Airlines Inc."	0.01692861258462182
"United Air Lines Inc."	0.01274521400053905
"US Airways Inc."	0.020466497244797825
"Virgin America"	0.008626399366751207
"Southwest Airlines Co."	0.012713822111098344
